text,cha,chb,chc,chd,ans,job
The S.I. unit of power is,Henry,coulomb,watt,watt-hour,coulomb,HR6
Electric pressure is also called,resistance,power,voltage,energy,voltage,HR6
The substances which have a large number of free electrons and offer a low resistance are called,insulators,inductors,semi-conductors,conductors,conductors,HR6
Out of the following which is not a poor conductor ?,Cast iron,Copper,Carbon,Tungsten,Copper,HR6
Out of the following which is an insulating material ?,Copper,Gold,Silver,Paper,Paper,HR6
The property of a conductor due to which it passes current is called,resistance,reluctance,conductance,inductance,conductance,HR6
Conductance is reciprocal of,resistance,inductance,reluctance,capacitance,resistance,HR6
With rise in temperature the resistance of pure metals,increases,decreases,first increases and then decreases,remains constant,increases,HR6
With rise in temperature the resistance of semi-conductors,decreases,increases,first increases and then decreases,remains constant,decreases,HR6
An instrument which detects electric current is known as,voltmeter,rheostat,wattmeter,galvanometer,galvanometer,HR6
In a circuit a 33 Q resistor carries a current of 2 A. The voltage across the&nbsp;resistor is,33 V,66 v,80 V,132 V,66 v,HR6
A light bulb draws 300 mA when the voltage across it is 240 V. The resistance of the light bulb is,400 Q,600 Q,800 Q,1000 Q,800 Q,HR6
Which of the following material has nearly zero temperature co-efficient of resistance?, Manganin, Porcelain, Carbon, Copper,Manganin,HR6
You have to replace 1500 Q resistor in radio. You have no 1500 Q resistor but have several 1000 Q ones which you would connect, two in parallel, two in parallel and one in series, three in parallel, three in series,two in parallel and one in series,HR6
Two resistors are said to be connected in series when, same current passes in turn through both, both carry the same value of current, total current equals the sum of branch currents, sum of IR drops equals the applied e.m.f.,same current passes in turn through both,HR6
Which of the following statement is true both for a series and a parallel  circuit?, Elements have individual currents, Currents are additive, Voltages are additive, Power are additive,Power are additive,HR6
Which of the following materials has a negative temperature co-efficient of resistance?, Copper, Aluminum, Carbon, Brass,Carbon,HR6
